Month,Year,Quarter,Month_Name,Month_Index,User_Month_Key,Department_Month_Key,User_ID,Employee_Label,Department,Business_Unit,Role_Level,Location,Hire_Date,Training_Status,AI_Training_Date,AI_Champion,License_Tier,Active_Flag,New_User_Flag,Retained_User_Flag,Reactivated_User_Flag,Churned_User_Flag,First_Active_Month,Adoption_Stage,AI_Maturity_Score,User_Month_Messages,User_Month_Cost_USD,User_Month_Hours_Saved,User_Month_Value_USD,User_Month_ROI_Pct,Activity_ID,Tool,Tool_Category,Use_Case,Channel,Sessions,Messages,Days_Active,Active_Minutes,Input_Tokens,Output_Tokens,Usage_Cost_USD,License_Cost_USD,Total_Cost_USD,Estimated_Hours_Saved,Estimated_Value_USD,ROI_Pct,Satisfaction_Score,Successful_Response_Pct,Policy_Compliance_Pct,Sensitive_Data_Incidents,Escalations,Automation_Runs,Avg_Response_Time_Sec,Department_Headcount,Department_Active_Users,Department_Adoption_Rate_Pct,Adoption_Target_Pct,Adoption_Target_Gap_Pct,Active_User_Target,Message_Target,Department_Month_Messages,Department_Month_Cost_USD,Monthly_Budget_USD,Budget_Variance_USD,Department_Month_Hours_Saved,Hours_Saved_Target,Satisfaction_Target
2025-01-01,2025,Q1,January,1,U0011_2025-01,Sales_2025-01,U0011,Employee 011,Sales,Commercial,Individual Contributor,Santiago,2022-04-11,Not Trained,2025-08-01,Yes,Premium,1,1,0,0,0,2025-01-01,Explorer,38,35,30.0,2.73,65.25,117.5,A000011,Microsoft Copilot,Enterprise Assistant,Sales Enablement,Teams,3,35,2,71,20872,12036,0.0,30,30.0,2.73,65.25,117.5,3.6,90.0,95.3,0,0,0,4.07,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0012_2025-01,Sales_2025-01,U0012,Employee 012,Sales,Commercial,Individual Contributor,Santiago,2021-07-23,Not Trained,2025-03-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000012,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0013_2025-01,Sales_2025-01,U0013,Employee 013,Sales,Commercial,Specialist,Concepción,2025-07-15,Not Trained,2025-04-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000013,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0014_2025-01,Sales_2025-01,U0014,Employee 014,Sales,Commercial,Manager,Valparaíso,2023-05-28,Not Trained,2025-05-01,No,Premium,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000014,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0015_2025-01,Sales_2025-01,U0015,Employee 015,Sales,Commercial,Individual Contributor,Santiago,2019-02-12,Not Trained,2025-06-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000015,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0016_2025-01,Sales_2025-01,U0016,Employee 016,Sales,Commercial,Individual Contributor,Santiago,2025-11-03,Not Trained,2025-04-01,No,Premium,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000016,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0017_2025-01,Sales_2025-01,U0017,Employee 017,Sales,Commercial,Individual Contributor,Santiago,2024-09-16,Not Trained,2025-07-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000017,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0018_2025-01,Sales_2025-01,U0018,Employee 018,Sales,Commercial,Manager,Santiago,2013-01-05,Not Trained,2025-05-01,Yes,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000018,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0019_2025-01,Sales_2025-01,U0019,Employee 019,Sales,Commercial,Individual Contributor,Santiago,2023-12-15,Not Trained,2025-04-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000019,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0020_2025-01,Sales_2025-01,U0020,Employee 020,Sales,Commercial,Specialist,Valparaíso,2022-08-28,Not Trained,2025-06-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000020,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0021_2025-01,Sales_2025-01,U0021,Employee 021,Sales,Commercial,Individual Contributor,Antofagasta,2021-01-03,Trained,2025-01-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000021,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0022_2025-01,Sales_2025-01,U0022,Employee 022,Sales,Commercial,Individual Contributor,Santiago,2018-08-22,Not Trained,2025-02-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000022,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0023_2025-01,Sales_2025-01,U0023,Employee 023,Sales,Commercial,Individual Contributor,Remote,2024-01-28,Not Trained,,Yes,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000023,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0024_2025-01,Sales_2025-01,U0024,Employee 024,Sales,Commercial,Individual Contributor,Valparaíso,2022-12-01,Trained,2025-01-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000024,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0025_2025-01,Sales_2025-01,U0025,Employee 025,Sales,Commercial,Specialist,Santiago,2020-11-20,Trained,2025-01-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000025,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0026_2025-01,Sales_2025-01,U0026,Employee 026,Sales,Commercial,Individual Contributor,Santiago,2020-05-26,Not Trained,2025-02-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000026,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0027_2025-01,Sales_2025-01,U0027,Employee 027,Sales,Commercial,Individual Contributor,Antofagasta,2024-12-09,Not Trained,2025-02-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000027,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0028_2025-01,Sales_2025-01,U0028,Employee 028,Sales,Commercial,Individual Contributor,Valparaíso,2024-12-12,Not Trained,2025-03-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000028,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0029_2025-01,Sales_2025-01,U0029,Employee 029,Sales,Commercial,Individual Contributor,Santiago,2025-08-21,Not Trained,2025-04-01,Yes,Standard,1,1,0,0,0,2025-01-01,Explorer,40,48,30.0,2.65,61.06,103.5,A000029,Microsoft Copilot,Enterprise Assistant,Meeting Summaries,Web,6,48,4,146,24483,18468,0.0,30,30.0,2.65,61.06,103.5,3.7,93.7,96.8,0,0,0,2.29,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0030_2025-01,Sales_2025-01,U0030,Employee 030,Sales,Commercial,Specialist,Santiago,2023-02-02,Not Trained,2025-07-01,No,Premium,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000030,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0031_2025-01,Sales_2025-01,U0031,Employee 031,Sales,Commercial,Individual Contributor,Santiago,2013-02-06,Not Trained,,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000031,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0032_2025-01,Sales_2025-01,U0032,Employee 032,Sales,Commercial,Individual Contributor,Santiago,2020-02-20,Not Trained,2025-06-01,No,Standard,1,1,0,0,0,2025-01-01,Explorer,30,34,30.0,2.06,49.86,66.2,A000032,Microsoft Copilot,Enterprise Assistant,Sales Enablement,Desktop,4,34,2,75,21035,13102,0.0,30,30.0,2.06,49.86,66.2,4.6,79.4,95.7,0,0,0,2.74,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0033_2025-01,Sales_2025-01,U0033,Employee 033,Sales,Commercial,Individual Contributor,Valparaíso,2021-04-28,Not Trained,2025-03-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000033,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0034_2025-01,Sales_2025-01,U0034,Employee 034,Sales,Commercial,Specialist,Valparaíso,2013-08-10,Not Trained,2025-05-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000034,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0035_2025-01,Sales_2025-01,U0035,Employee 035,Sales,Commercial,Manager,Valparaíso,2024-03-06,Trained,2025-01-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000035,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0036_2025-01,Sales_2025-01,U0036,Employee 036,Sales,Commercial,Individual Contributor,Antofagasta,2023-12-27,Not Trained,2025-05-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000036,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0037_2025-01,Sales_2025-01,U0037,Employee 037,Sales,Commercial,Individual Contributor,Santiago,2023-12-22,Not Trained,2025-06-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000037,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0038_2025-01,Sales_2025-01,U0038,Employee 038,Sales,Commercial,Individual Contributor,Antofagasta,2024-08-22,Not Trained,2025-03-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000038,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0039_2025-01,Sales_2025-01,U0039,Employee 039,Sales,Commercial,Individual Contributor,Concepción,2023-07-07,Not Trained,2025-02-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000039,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0040_2025-01,Sales_2025-01,U0040,Employee 040,Sales,Commercial,Specialist,Santiago,2023-03-05,Not Trained,2025-07-01,No,Premium,1,1,0,0,0,2025-01-01,Explorer,28,26,30.0,1.11,34.32,14.4,A000040,Microsoft Copilot,Enterprise Assistant,Knowledge Search,Teams,2,26,1,54,6542,7439,0.0,30,30.0,1.11,34.32,14.4,3.9,78.8,95.0,0,0,0,4.87,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0041_2025-01,Sales_2025-01,U0041,Employee 041,Sales,Commercial,Individual Contributor,Santiago,2023-11-05,Not Trained,2025-05-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000041,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0042_2025-01,Sales_2025-01,U0042,Employee 042,Sales,Commercial,Manager,Santiago,2019-05-10,Not Trained,2025-02-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000042,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0043_2025-01,Sales_2025-01,U0043,Employee 043,Sales,Commercial,Individual Contributor,Santiago,2024-07-13,Not Trained,,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000043,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0044_2025-01,Sales_2025-01,U0044,Employee 044,Sales,Commercial,Individual Contributor,Antofagasta,2019-02-06,Not Trained,2025-03-01,No,Premium,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000044,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0045_2025-01,Sales_2025-01,U0045,Employee 045,Sales,Commercial,Specialist,Santiago,2021-08-25,Not Trained,2025-09-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000045,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0046_2025-01,Sales_2025-01,U0046,Employee 046,Sales,Commercial,Specialist,Santiago,2019-01-04,Not Trained,2025-04-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000046,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0047_2025-01,Sales_2025-01,U0047,Employee 047,Sales,Commercial,Individual Contributor,Remote,2023-08-17,Trained,2025-01-01,No,Standard,1,1,0,0,0,2025-01-01,Regular,41,56,30.0,2.41,53.36,77.9,A000047,Microsoft Copilot,Enterprise Assistant,Knowledge Search,Desktop,8,56,5,131,14886,10969,0.0,30,30.0,2.41,53.36,77.9,4.5,92.6,100,0,0,0,3.2,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0048_2025-01,Sales_2025-01,U0048,Employee 048,Sales,Commercial,Individual Contributor,Santiago,2024-11-17,Not Trained,2025-04-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000048,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0049_2025-01,Sales_2025-01,U0049,Employee 049,Sales,Commercial,Specialist,Santiago,2024-01-16,Not Trained,2025-02-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000049,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0050_2025-01,Sales_2025-01,U0050,Employee 050,Sales,Commercial,Individual Contributor,Valparaíso,2018-11-21,Not Trained,2025-02-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000050,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0051_2025-01,Sales_2025-01,U0051,Employee 051,Sales,Commercial,Individual Contributor,Concepción,2022-06-22,Not Trained,2025-06-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000051,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0052_2025-01,Sales_2025-01,U0052,Employee 052,Sales,Commercial,Specialist,Santiago,2016-02-08,Not Trained,2025-04-01,No,Standard,1,1,0,0,0,2025-01-01,Explorer,29,30,30.0,3.24,95.75,219.2,A000052,Microsoft Copilot,Enterprise Assistant,Forecasting,Web,3,30,1,48,16257,13151,0.0,30,30.0,3.24,95.75,219.2,3.6,82.7,94.9,0,0,0,2.94,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0053_2025-01,Sales_2025-01,U0053,Employee 053,Sales,Commercial,Individual Contributor,Santiago,2025-09-26,Not Trained,2025-03-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000053,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0054_2025-01,Sales_2025-01,U0054,Employee 054,Sales,Commercial,Individual Contributor,Remote,2023-10-01,Not Trained,2025-05-01,No,Premium,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000054,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
